x,y,z
-1.766864776611328125e+01,-7.746837139129638672e+00,-1.732921242713928223e+00
-1.766864776611328125e+01,-7.650488853454589844e+00,-1.707405924797058105e+00
-1.767099380493164062e+01,-7.664086341857910156e+00,-1.690810799598693848e+00
-1.766864776611328125e+01,-7.515119552612304688e+00,-1.724046826362609863e+00
-1.767099380493164062e+01,-7.542406558990478516e+00,-1.692376494407653809e+00
-1.767099380493164062e+01,-7.484371662139892578e+00,-1.687735915184020996e+00
-1.766864776611328125e+01,-7.335689067840576172e+00,-1.709749817848205566e+00
-1.766864776611328125e+01,-7.243257045745849609e+00,-1.736619353294372559e+00
-1.766864776611328125e+01,-7.187665939331054688e+00,-1.722778677940368652e+00
-1.766864776611328125e+01,-1.189474010467529297e+01,-8.808394074440002441e-01
-1.766864776611328125e+01,-1.120611095428466797e+01,-9.191356301307678223e-01
-1.766864776611328125e+01,-1.061664104461669922e+01,-9.014442563056945801e-01
-1.766864776611328125e+01,-1.001405620574951172e+01,-1.112933993339538574e+00
-1.766864776611328125e+01,-8.290387153625488281e+00,-1.704858183860778809e+00
-1.766864776611328125e+01,-8.104168891906738281e+00,-1.686830163002014160e+00
-1.766864776611328125e+01,-7.926965236663818359e+00,-1.715666890144348145e+00
-1.766864776611328125e+01,-7.400323390960693359e+00,-1.710530877113342285e+00
-1.766864776611328125e+01,-7.167163848876953125e+00,-1.672837138175964355e+00
-1.750770378112792969e+01,-1.204276561737060547e+01,-8.827665448188781738e-01
-1.750770378112792969e+01,-1.203199863433837891e+01,-9.228971600532531738e-01
-1.750770378112792969e+01,-1.192829132080078125e+01,-9.169772267341613770e-01
-1.750770378112792969e+01,-1.194531631469726562e+01,-8.840208649635314941e-01
-1.759617805480957031e+01,-1.186497402191162109e+01,-8.992810845375061035e-01
-1.750770378112792969e+01,-1.180263233184814453e+01,-9.322040677070617676e-01
-1.750770378112792969e+01,-1.172723197937011719e+01,-9.479590058326721191e-01
-1.750770378112792969e+01,-1.166049098968505859e+01,-9.719672799110412598e-01
-1.750770378112792969e+01,-1.151293373107910156e+01,-9.387074112892150879e-01
-1.758293914794921875e+01,-1.140857315063476562e+01,-8.994768261909484863e-01
-1.750770378112792969e+01,-1.141716003417968750e+01,-9.120314717292785645e-01
-1.758293914794921875e+01,-1.132308387756347656e+01,-8.810532689094543457e-01
-1.750770378112792969e+01,-1.122910785675048828e+01,-8.996589779853820801e-01
-1.750770378112792969e+01,-1.115743446350097656e+01,-8.933249115943908691e-01
-1.750770378112792969e+01,-1.101608085632324219e+01,-8.712974190711975098e-01
-1.750770378112792969e+01,-1.092825698852539062e+01,-8.817053437232971191e-01
-1.750770378112792969e+01,-1.080116558074951172e+01,-8.620510697364807129e-01
-1.750770378112792969e+01,-1.070595359802246094e+01,-8.348576426506042480e-01
-1.750770378112792969e+01,-1.064138507843017578e+01,-8.914051651954650879e-01
-1.759617805480957031e+01,-1.058123683929443359e+01,-8.743994832038879395e-01
-1.750770378112792969e+01,-1.052334117889404297e+01,-9.676354527473449707e-01
-1.750770378112792969e+01,-1.041580390930175781e+01,-9.822717308998107910e-01
-1.758293914794921875e+01,-1.041938495635986328e+01,-1.000720858573913574e+00
-1.750770378112792969e+01,-1.031695842742919922e+01,-1.053324818611145020e+00
-1.750770378112792969e+01,-1.023760604858398438e+01,-1.091735959053039551e+00
-1.750770378112792969e+01,-1.021130943298339844e+01,-1.111402392387390137e+00
-1.750770378112792969e+01,-1.015270805358886719e+01,-1.081362128257751465e+00
-1.750770378112792969e+01,-1.012852764129638672e+01,-1.146854043006896973e+00
-1.750770378112792969e+01,-1.001442241668701172e+01,-1.172029614448547363e+00
-1.750770378112792969e+01,-9.927158355712890625e+00,-1.194971442222595215e+00
-1.750770378112792969e+01,-9.898009300231933594e+00,-1.194524645805358887e+00
-1.750770378112792969e+01,-9.804057121276855469e+00,-1.271994233131408691e+00
-1.759617805480957031e+01,-9.780901908874511719e+00,-1.195124745368957520e+00
-1.750770378112792969e+01,-9.714069366455078125e+00,-1.262230992317199707e+00
-1.750770378112792969e+01,-9.618103981018066406e+00,-1.290415883064270020e+00
-1.750770378112792969e+01,-9.587908744812011719e+00,-1.285011410713195801e+00
-1.750770378112792969e+01,-9.405455589294433594e+00,-1.392836928367614746e+00
-1.752925300598144531e+01,-9.490932464599609375e+00,-1.299727320671081543e+00
-1.750770378112792969e+01,-9.303127288818359375e+00,-1.398524880409240723e+00
